question,article_number
How is a decision made in Parliament when a vote is tied?,122
What is the role of the Speaker during a vote in Parliament?,122
When can a member of Parliament not vote on a question?,122
How is the number of members counted for voting purposes in Parliament?,122
What happens if the number of votes is equal in Parliament?,122
How are Senate members grouped for voting on matters affecting counties?,123
Who leads a county's delegation in the Senate?,123
How is a vote cast on behalf of a county delegation?,123
What is the voting threshold for matters affecting counties?,123
How does the Speaker determine if a matter affects counties?,123
What kind of committees can each House of Parliament establish?,124
What is the purpose of Standing Orders in Parliament?,124
How can Parliament regulate joint committees?,124
What makes the proceedings of a House of Parliament valid?,124
How are appointments requiring parliamentary approval processed?,124
What bodies in Parliament can summon individuals for evidence?,125
What powers does Parliament have to enforce witness attendance?,125
Can Parliament compel the production of documents?,125
What is the process for examining witnesses abroad?,125
What is the equivalent court power for Parliament in summoning witnesses?,125
Where can Parliament sit?,126
When does a new House's first sitting occur?,126
Who appoints the place and date for a new House's first sitting?,126
How soon after election must the first sitting of a new House occur?,126
Can sittings of either House start at any time?,126
Who chairs the Parliamentary Service Commission?,127
How many members are in the Commission and how are they appointed?,127
What happens to a member's position if they're no longer in Parliament?,127
How long does a member's term last after a House's term ends?,127
What are the main responsibilities of the Commission?,127
Who appoints the Clerk for each House of Parliament?,128
What body approves the appointment of the Clerk?,128
What is the role of the Parliamentary Service Commission in the appointment of the Clerk?,128
Who are the staff of the Clerk?,128
What is the status of the offices of the Clerks and their staff?,128
Who does executive authority derive from according to the Kenyan Constitution?,129
How should executive authority be exercised according to the Constitution?,129
What principle should guide the exercise of executive authority in Kenya?,129
What is the primary goal of executive authority in Kenya?,129
What should executive authority aim to achieve for the people of Kenya?,129
What are the key components of the national executive in Kenya?,130
How should the national executive reflect the diversity of Kenya's population?,130
What is the role of the Cabinet in the national executive?,130
Who are the top two positions in the national executive?,130
What is the purpose of reflecting regional and ethnic diversity in the national executive?,130
Who is the ultimate authority in Kenya's executive branch?,131
What are the key roles of the President as per the Constitution?,131
Who assists the President in exercising executive authority?,131
What is the President's role in the military?,131
What other offices can the President not hold?,131
What are the regular occasions when the President addresses Parliament?,132
How does the President report on the progress of national values?,132
Who does the President appoint with the approval of the National Assembly?,132
What are the President's responsibilities in coordinating government functions?,132
What additional executive functions can the President perform?,132
Who advises the President in exercising the power of mercy?,133
What are the members of the Advisory Committee on the Power of Mercy?,133
What should Parliament legislate for regarding the Advisory Committee?,133
Can the Advisory Committee consider victims' views in its recommendations?,133
Who cannot be a member of the Advisory Committee?,133
Who can temporarily exercise presidential powers?,134
What powers can't be exercised during temporary incumbency?,134
What are the specific powers mentioned in clause (2) that can't be exercised?,134
When does temporary incumbency begin and end?,134
What happens to these powers when the President is absent or incapacitated?,134
How are presidential decisions documented?,135
What must a presidential decision include?,135
What are the required elements of a presidential decision?,135
What is the format of a presidential decision?,135
What are the necessary components of a presidential decision?,135
How often is the President elected?,136
When is the presidential election held?,136
Who elects the President?,136
What is the legal framework for presidential elections?,136
What triggers a presidential election outside the regular schedule?,136
What are the citizenship and political party requirements for a presidential candidate?,137
Can a public officer be a presidential candidate?,137
Are there exceptions to the public officer disqualification?,137
How many counties must support a presidential candidate's nomination?,137
What is the voter threshold for presidential candidate nomination?,137
How is a president elected if only one candidate is nominated?,138
What is the voting process for a presidential election?,138
What are the requirements for a candidate to be declared elected as president?,138
What happens if no candidate meets the election requirements?,138
Under what circumstances is a presidential election cancelled and a new one held?,138
"If a President-elect dies before assuming office, who takes over as acting President?",139
How long after the President-elect's death is a fresh election held?,139
"If the Deputy President-elect dies before assuming office, what happens to their position?",139
"If both President and Deputy President-elect die before assuming office, who acts as President?",139
"In this case, how long is it before a fresh presidential election is held?",139
How long after the presidential election results are declared can a person file a petition challenging the President-elect's election?,140
How long does the Supreme Court have to hear and decide a presidential election petition after it's filed?,140
What happens if the Supreme Court rules the President-elect's election invalid?,140
How soon after such a ruling must a fresh election be held?,140
"What is the final authority in deciding presidential election disputes, according to this article?",140
Who swears in the President-elect?,141
When does the President-elect take the oath of office?,141
What oaths does the President-elect take?,141
What happens if a petition is filed under Article 140?,141
Who decides the procedure and ceremony for the swearing-in of a President-elect?,141
How long does a President's term last?,142
Can a President serve more than two terms?,142
When does a President's term begin and end?,142
What triggers the end of a President's term?,142
What happens after a President's term ends?,142
Can the President face criminal charges during their term?,143
Can civil cases be filed against the President during their tenure?,143
Does holding the President's office pause legal time limits?,143
Are there any exceptions to the President's immunity from legal proceedings?,143
Can the President be prosecuted for crimes under international treaties?,143
How many members of the National Assembly are needed to initiate an investigation into the President's capacity to perform their duties?,144
"Who appoints the tribunal to investigate the President's capacity, and what are its members?",144
What happens if the President is unable to nominate a person for the tribunal?,144
How long does the tribunal have to report its findings?,144
What is the final step in the process if the National Assembly votes to ratify the tribunal's report that the President is incapable of performing their duties?,144
How many members of the National Assembly are needed to initiate an impeachment motion against the President?,145
What is the required majority in the National Assembly for an impeachment motion to proceed?,145
Who informs the Senate about the impeachment resolution and within what timeframe?,145
What is the role of the Senate in the impeachment process after receiving the resolution?,145
What is the required majority in the Senate to uphold an impeachment charge and remove the President?,145
What happens if the President dies or resigns?,146
Who takes over if the President's office becomes vacant?,146
When does a new President have to be elected?,146
How long does an acting President serve?,146
Under what conditions does an acting President serve a full term?,146
What are the primary duties of the Deputy President?,147
When can the Deputy President act as the President?,147
What other roles can the Deputy President not hold?,147
What functions can the President assign to the Deputy President?,147
How does the Deputy President assist the President?,147
How is a Deputy President candidate nominated in a presidential election?,148
Is there a separate nomination process for the Deputy President?,148
Who swears in the Deputy President-elect?,148
What are the terms of office for a Deputy President?,148
"Can a Deputy President resign from office and if so, how?",148
"When a Deputy President's office becomes vacant, how long does the President have to nominate a replacement?",149
How long does the National Assembly have to vote on the President's nomination?,149
"If a person becomes Deputy President after a vacancy, under what conditions are they considered to have served a full term?",149
In what other cases is a person not considered to have served a term as Deputy President?,149
What happens if a person assumes office as Deputy President under the given clause?,149
Under what circumstances can the Deputy President be removed from office?,150
What are the grounds for impeaching the Deputy President?,150
How does the process of removing the Deputy President differ from that of the President?,150
What happens if the Deputy President is found physically or mentally incapable of performing their duties?,150
What is the legal basis for removing the Deputy President from office?,150
How are the President's and Deputy President's salaries and benefits funded?,151
Can their remuneration and benefits be reduced while they're in office?,151
What happens to a former President's and Deputy President's retirement benefits and privileges?,151
Can these benefits and privileges be reduced after they've left office?,151
What are the lifetime guarantees for former Presidents and Deputy Presidents regarding their benefits and privileges?,151
Who are the members of the Cabinet according to the Constitution?,152
How are Cabinet Secretaries appointed and by whom?,152
Can a Cabinet Secretary also be a Member of Parliament?,152
How can a Cabinet Secretary resign?,152
What are the grounds for dismissing a Cabinet Secretary and who decides this?,152
How are Cabinet decisions recorded?,153
Who do Cabinet Secretaries answer to for their actions?,153
Can Cabinet Secretaries be summoned by Parliament?,153
What guidelines must Cabinet Secretaries follow?,153
How often and in what manner do Cabinet Secretaries report to Parliament?,153
Who establishes and appoints the Secretary to the Cabinet?,154
How is the Secretary to the Cabinet dismissed?,154
What are the main responsibilities of the Secretary to the Cabinet?,154
Who directs the other functions of the Secretary to the Cabinet?,154
How does the Secretary to the Cabinet resign from office?,154
Who establishes the office of Principal Secretary?,155
What is the role of a Principal Secretary in a State department?,155
"Who nominates and appoints Principal Secretaries, and what is the approval process?",155
Can the President reassign a Principal Secretary's role?,155
How does a Principal Secretary resign from office?,155
How is the Attorney-General appointed?,156
What are the qualifications for the Attorney-General?,156
What are the primary roles of the Attorney-General?,156
In what legal proceedings does the Attorney-General represent the national government?,156
What additional powers does the Attorney-General have?,156
Who appoints the Director of Public Prosecutions and how is this done?,157
What are the qualifications required for the appointment as Director of Public Prosecutions?,157
What powers does the Director of Public Prosecutions have regarding criminal proceedings?,157
Can the Director of Public Prosecutions discontinue criminal proceedings at any stage?,157
Who can the Director of Public Prosecutions exercise powers through?,157
What are the grounds for removing the Director of Public Prosecutions?,158
Who can initiate the process of removing the Director of Public Prosecutions?,158
What role does the Public Service Commission play in this process?,158
What is the composition of the tribunal that inquires into the matter?,158
What happens to the remuneration of the Director of Public Prosecutions during suspension?,158
Who grants judicial authority and to whom does it vest?,159
What principles guide the exercise of judicial authority?,159
Which forms of dispute resolution are promoted?,159
Under what conditions should traditional dispute resolution not be used?,159
What should justice not be administered with undue regard to?,159
Who can control or direct the Judiciary in Kenya?,160
Can a judge's office be abolished while they're in office?,160
How is a judge's remuneration and benefits funded?,160
Can a judge's remuneration or retirement benefits be reduced?,160
Are judges immune from lawsuits for actions taken in their official capacity?,160
Who are the members of the Judiciary according to the article?,161
What are the established offices in the Judiciary?,161
Who heads the Judiciary?,161
Who is the second-in-command in the Judiciary?,161
What is the role of the Chief Registrar of the Judiciary?,161
What are the superior courts established by the constitution?,162
What specific types of disputes can the courts established under clause (2) handle?,162
Who decides the jurisdiction and functions of these courts?,162
What are the subordinate courts mentioned in the article?,162
How are the subordinate courts established?,162
Who are the members of the Supreme Court?,163
What is the minimum number of judges required for the Supreme Court to be properly constituted?,163
What are the types of jurisdiction the Supreme Court has?,163
Under what conditions can appeals be made to the Supreme Court from the Court of Appeal?,163
What is the role of the Supreme Court in providing advisory opinions?,163
How many judges are in the Court of Appeal?,164
Who leads the Court of Appeal?,164
What courts can appeal to the Court of Appeal?,164
Can other courts or tribunals appeal to the Court of Appeal?,164
How is the Court of Appeal organized and administered?,164
How many judges are in the High Court and how are they organized?,165
Who elects the Principal Judge of the High Court?,165
What are the key jurisdictions of the High Court?,165
How many judges hear cases involving substantial questions of law?,165
What types of cases does the High Court not have jurisdiction over?,165
"Who appoints the Chief Justice and Deputy Chief Justice, and how is this done?",166
What are the qualifications required for a person to be appointed as a judge of a superior court?,166
What is the required experience for appointment as a judge of the Supreme Court?,166
What are the experience requirements for a judge of the Court of Appeal?,166
What are the qualifications needed for a High Court judge?,166
What is the maximum age limit for a judge to retire?,167
How long can the Chief Justice serve in office?,167
What happens if the Chief Justice's term expires before retirement age?,167
Can a former Chief Justice remain on the Supreme Court after their term?,167
How does a judge or the Chief Justice resign from office?,167
What are the grounds for removing a judge from a superior court?,168
Who can initiate the process of removing a judge?,168
What should a petition for removing a judge contain?,168
What happens after the Judicial Service Commission receives a valid petition?,168
How is the tribunal appointed to investigate the judge's conduct composed?,168
What are the different types of subordinate courts listed in the constitution?,169
"Who has the power to confer jurisdiction, functions, and powers on these courts?",169
"What kind of courts can be established by an Act of Parliament, besides those mentioned in Article 162(2)?",169
What is the role of Parliament in relation to the subordinate courts?,169
What are the specific courts mentioned in clause (1) of this article?,169
How many Kadhis are required by law?,170
What are the qualifications to be a Kadhi?,170
Who establishes Kadhis' courts and what powers do they have?,170
How many Kadhis can hold a Kadhi's court?,170
What kind of cases can a Kadhi's court handle?,170
Who are the members of the Judicial Service Commission?,171
How long do the members serve?,171
Who appoints the members representing the public?,171
What is the role of the Chief Registrar of the Judiciary in the Commission?,171
What is the maximum term length for a member of the Commission?,171
What are the key functions of the Judicial Service Commission?,172
How does the Commission ensure the independence and accountability of the judiciary?,172
What role does the Commission play in the appointment of judges and other judicial officers?,172
"How does the Commission handle complaints against registrars, magistrates, and other staff of the Judiciary?",172
What steps does the Commission take to promote gender equality in the judiciary?,172
Who manages the Judiciary Fund?,173
What are the primary uses of the Judiciary Fund?,173
Who approves the annual expenditure estimates for the Judiciary?,173
How is the Judiciary Fund financed after approval?,173
What kind of legislation will Parliament enact regarding the Fund?,173
What are the primary goals of devolving government power in Kenya?,174
How does devolution aim to foster unity while acknowledging diversity?,174
In what ways does devolution empower local communities to manage their own affairs and participate in decision-making?,174
How does the constitution protect the interests and rights of minorities and marginalized communities through devolution?,174
What are the key services and resources that devolution aims to distribute equitably across Kenya?,174
What are the key principles on which county governments should be based?,175
How should county governments ensure financial sustainability?,175
What is the gender representation requirement for county government members?,175
What is the maximum proportion of members of the same gender allowed in county representative bodies?,175
How does the separation of powers apply to county governments?,175
What are the two main components of a county government?,176
How should county governments handle their functions and services?,176
What is the primary goal of decentralizing county functions and services?,176
What factors determine the extent to which county functions and services should be decentralized?,176
What is the purpose of having a county government for each county?,176
How often are county assemblies elected and on what day?,177
What is the gender balance requirement for county assembly members?,177
Who determines the number of members from marginalised groups?,177
When are special seats under clause (1)(b) filled?,177
What is the term length of a county assembly?,177
Who elects the speaker of a county assembly?,178
How is a county assembly sitting presided over in the speaker's absence?,178
What legislative process is responsible for the election and removal of county assembly speakers?,178
Can a non-member of the county assembly become its speaker?,178
Who can preside over a county assembly sitting when the speaker is absent?,178
Who are the members of the county executive committee?,179
How many members can be appointed to the committee?,179
What are the roles of the county governor and deputy county governor?,179
Who acts as county governor when the governor is absent?,179
What happens to appointed members when the governor's office becomes vacant?,179
How often are county governors elected?,180
What are the eligibility criteria for a county governor?,180
What happens if only one candidate is nominated for county governor?,180
How is the deputy county governor elected?,180
What are the term limits for county governors and deputy county governors?,180
What are the grounds for removing a county governor from office?,181
Who enacts the legislation for the removal procedure?,181
What should the legislation cover regarding removal grounds?,181
What happens if a county governor is physically or mentally unable to perform their duties?,181
What is the process for removing a county governor based on the given grounds?,181
What happens if the county governor dies or resigns?,182
Who takes over if both the county governor and deputy are unable to serve?,182
When is a new election held if the speaker acts as governor?,182
How long does a person acting as governor serve?,182
What are the conditions for a county governor's office to become vacant?,182
What are the primary tasks of a county executive committee?,183
Can a county executive committee propose legislation?,183
What is the role of a county executive committee in managing county administration?,183
What kind of functions can be assigned to a county executive committee beyond those listed?,183
How often and about what should the county executive committee report to the county assembly?,183
How are urban areas and cities classified in Kenya's constitution?,184
What are the key principles for governing and managing urban areas and cities according to the constitution?,184
How does the constitution ensure resident participation in urban area governance?,184
Can the constitution differentiate between types of urban areas and cities for governance purposes?,184
What mechanisms does the constitution suggest for identifying and governing different categories of urban areas and cities?,184
Who has the power to make laws for a county?,185
What kind of laws can a county assembly make?,185
What role does a county assembly play in overseeing the county executive?,185
What plans and policies can a county assembly approve?,185
How does a county assembly respect the separation of powers principle?,185
What are the primary functions and powers of the national and county governments according to the Constitution?,186
What happens when a function or power is given to more than one level of government?,186
"If a function or power isn't assigned to a county, who has the authority over it?",186
"Can Parliament legislate for the Republic on any matter, even if not explicitly stated in the Constitution?",186
What happens if a function or power isn't explicitly assigned by the Constitution or national legislation to a county?,186
Under what conditions can a function or power be transferred between levels of government?,187
Who decides if a function or power is more effectively performed by another level of government?,187
What resources must be transferred when a function or power is shifted between levels?,187
Which level of government remains constitutionally responsible for a transferred function or power?,187
Can a function or power be transferred if it's prohibited by its original legislation?,187
How are county boundaries altered?,188
What bodies must approve such alterations?,188
What factors are considered when altering county boundaries?,188
What is the minimum support required in the National Assembly for such alterations?,188
What is the minimum support required in the Senate for such alterations?,188
How should governments at different levels cooperate and assist each other?,189
What are the key aspects of their liaison and information exchange?,189
How can they work together to enhance capacity?,189
What steps should be taken in case of disputes between governments?,189
What alternative dispute resolution mechanisms should be used for inter-governmental disputes?,189
What kind of support must Parliament ensure for county governments to perform their functions?,190
What financial management system requirements must county governments comply with?,190
Under what circumstances can the national government intervene in county governments?,190
What actions can the national government take during intervention?,190
What process is there for ending national government intervention?,190
When does national legislation take precedence over county legislation?,191
Under what conditions does county legislation prevail over national legislation?,191
What happens when there's an apparent conflict between legislations of different levels of government?,191
How can courts interpret conflicting legislations to avoid conflict?,191
What is the effect of a court decision that one level of government's provision prevails over another's?,191
Under what circumstances can the President suspend a county government?,192
What process must be followed before a county government can be suspended for exceptional circumstances?,192
Who performs the functions of a county government during a suspension?,192
Which body can end a suspension at any time?,192
How long can a suspension under this article last?,192
What are the basic qualifications for a person to be elected as a member of a county assembly?,193
What are the specific disqualifications for a person to be elected as a member of a county assembly?,193
How long must a person have been a citizen of Kenya to be eligible for election as a member of a county assembly?,193
What is the minimum imprisonment sentence that disqualifies a person from being elected as a member of a county assembly?,193
What is the process for a disqualification under clause (2) to be considered final?,193
What are the circumstances under which a member of a county assembly's office becomes vacant?,194
How many sittings can a member miss without permission?,194
What happens if a member resigns from their political party?,194
Can a member who was elected independently join a political party?,194
What are the grounds for disqualification for a member of a county assembly?,194
Who can be summoned by a county assembly or its committee?,195
What powers does an assembly have to enforce witness attendance?,195
Can an assembly compel the production of documents?,195
What is the process for examining witnesses abroad?,195
What is the purpose of summoning witnesses or providing information?,195
How does the county assembly ensure transparency in its operations?,196
What are the circumstances under which the public can be excluded from assembly sittings?,196
How is public participation facilitated in the county assembly's business?,196
What role does the speaker play in determining public exclusion from sittings?,196
What kind of legislation will Parliament enact regarding county assembly powers and privileges?,196
What is the maximum gender ratio for county assembly and executive committee members?,197
How should cultural diversity be reflected in county assemblies and executives?,197
What legislative measures are required to ensure diversity in county governance?,197
How should minorities be protected within counties?,197
What is the purpose of the two-thirds gender rule in county assemblies and executives?,197
What happens to the county executive committee during a county assembly election?,198
Who performs administrative functions during this period?,198
How long does this interim period last?,198
When is a new executive committee constituted?,198
What are the duties of the interim executive committee?,198
What makes county legislation legally effective?,199
Can other laws dictate county legislation's publication requirements?,199
What happens if county legislation isn't published in the Gazette?,199
What are the basic publication rules for county legislation?,199
Can national laws influence how county legislation is published?,199
What kind of legislation should Parliament enact to support Chapter 11?,200
What specific areas should this legislation cover regarding city governance?,200
How can functions and powers be transferred between different levels of government?,200
What are the processes for electing or appointing officials in county governments?,200
Under what circumstances can county assemblies or executive committees be suspended?,200
How is openness and accountability ensured in public finance?,201
How is the burden of taxation shared fairly?,201
How is national revenue shared between national and county governments?,201
How does expenditure promote equitable development?,201
How is the use of resources and public borrowing shared between generations?,201
How is national revenue shared between national and county governments?,202
Can county governments receive extra allocations from the national government's share?,202
Under what conditions can county governments receive additional allocations?,202
Are there any unconditional additional allocations for county governments?,202
How does the constitution ensure equitable revenue sharing?,202
What criteria are considered when determining the equitable shares for county governments?,203
What is the minimum percentage of national revenue that must be allocated to county governments each year?,203
How is the amount allocated to county governments calculated?,203
What is the purpose of the flexibility mentioned in clause (k) of the article?,203
How often is the equitable share recalculated?,203
What percentage of national revenue goes into the Equalisation Fund annually?,204
What specific services are prioritized for funding from the Equalisation Fund?,204
How is the use of the Equalisation Fund approved and distributed?,204
Which body is consulted before Parliament appropriates funds from the Equalisation Fund?,204
What happens to unspent funds in the Equalisation Fund at the end of a financial year?,204
When does the Commission on Revenue Allocation review financial legislation affecting counties?,205
What happens after the Commission reviews the financial legislation?,205
How are the Commission's recommendations handled in Parliament?,205
"Before voting on the Bill, what does each House of Parliament do with the Commission's recommendations?",205
What is the final step for the Houses of Parliament regarding the Bill after considering the Commission's recommendations?,205
What funds are excluded from the Consolidated Fund?,206
How can money be withdrawn from the Consolidated Fund?,206
What is the role of the Controller of Budget in fund withdrawal?,206
What is the requirement for withdrawing money from other national public funds?,206
What happens if money is withdrawn from the Consolidated Fund without approval?,206
What funds are established for each county government according to this article?,207
How can money be withdrawn from a county's Revenue Fund?,207
Who approves the withdrawal of money from a county's Revenue Fund?,207
What additional provisions can Parliament make for withdrawing funds from a county's Revenue Fund?,207
"What other funds can counties establish and manage, according to this article?",207
What is the purpose of the Contingencies Fund in Kenya's constitution?,208
Who is responsible for managing the Contingencies Fund?,208
Under what circumstances can funds be advanced from the Contingencies Fund?,208
What is the legislative process for operating the Contingencies Fund?,208
What happens if there's no other authority for expenditure but it's urgent and unforeseen?,208
"Who can impose income tax, value-added tax, customs duties, and excise tax?",209
Can counties impose any tax other than those listed for them?,209
What taxes can counties impose without parliamentary authorization?,209
Which governments can impose charges for services?,209
Under what conditions can counties exercise their taxation powers?,209
"How can taxes or licensing fees be imposed, changed, or waived?",210
What records must be kept and reported when a tax or licensing fee is waived?,210
Can state officers be exempt from paying taxes due to their office or work nature?,210
What information must be maintained and reported to the Auditor-General regarding tax waivers?,210
What are the conditions under which state officers cannot be exempt from paying taxes?,210
What bodies can legislate terms for national government borrowing?,211
Who is responsible for presenting loan information to Parliament?,211
What details must be provided about a loan when requested by Parliament?,211
How soon after a request must loan information be presented?,211
What is the maximum time frame for loan repayment information to be provided?,211
Under what conditions can a county government borrow?,212
What role does the national government play in county borrowing?,212
What approval is required for a county to borrow?,212
Can a county borrow without the national government's guarantee?,212
What body within the county must approve borrowing?,212
What authorizes the national government to guarantee loans?,213
What are the conditions for loan guarantees by the national government?,213
How often is a report on loan guarantees published?,213
When is the report on loan guarantees due after the end of a financial year?,213
What should the report on loan guarantees include?,213
What is the primary fund that the public debt is charged to?,214
Can the public debt be charged to other public funds?,214
What constitutes the public debt according to this article?,214
What financial obligations are considered part of the public debt?,214
What are the sources of the public debt according to this article?,214
Who establishes the Commission on Revenue Allocation?,215
How many members does the Commission consist of?,215
Who appoints the Commission's members?,215
Who cannot be members of the Commission?,215
"What professional experience is required for members under clauses (2)(a), (b), and (c)?",215
What is the primary role of the Commission on Revenue Allocation?,216
How does the Commission allocate revenue between national and county governments?,216
What additional responsibilities does the Commission have besides revenue allocation?,216
What factors should the Commission consider while formulating recommendations?,216
Who are the recipients of the Commission's recommendations?,216
How often does the Senate determine the basis for county revenue allocation?,217
What criteria and consultations are involved in this determination?,217
What is the role of the National Assembly in the process?,217
What happens if the National Assembly doesn't vote on the resolution within 60 days?,217
"Can the Senate amend an approved resolution, and if so, under what conditions?",217
When is the Division of Revenue Bill introduced in Parliament?,218
What does the Division of Revenue Bill divide?,218
What is the purpose of the County Allocation of Revenue Bill?,218
What should the memorandum accompanying each Bill include?,218
What criteria is the Bill evaluated against?,218
When is a county's share of national revenue transferred?,219
What happens to a county's share if transfer is stopped under Article 225?,219
Can any deductions be made from a county's revenue share?,219
When should the revenue share be transferred?,219
What prevents the revenue from being transferred?,219
What should be included in the budgets of national and county governments?,220
How should revenue and expenditure be differentiated in these budgets?,220
How should anticipated deficits be addressed in these budgets?,220
What forms of public liability can increase public debt and should be included in the budgets?,220
What does national legislation dictate regarding the structure of county development plans and budgets?,220
When are budget estimates for the national government submitted to the National Assembly?,221
What should the budget estimates include and how should they be presented?,221
Which bodies' estimates are considered alongside the national government's by the National Assembly?,221
What process does the National Assembly follow before considering the budget estimates?,221
What happens after the National Assembly approves the estimates of national government expenditure?,221
When can the National Assembly authorize spending from the Consolidated Fund before the Appropriation Act is passed?,222
What is the maximum amount that can be withdrawn for expenditure?,222
What are the conditions for the money withdrawn under clause (1)?,222
How is the money withdrawn under clause (1) to be accounted for in the Appropriation Act?,222
What happens if the Appropriation Act is not likely to be assented to by the beginning of the financial year?,222
Under what conditions can the national government spend money not already appropriated?,223
How soon must Parliament approve such spending?,223
What happens if Parliament is not in session when approval is needed?,223
"After approval, what is the next step for the spent money?",223
What is the maximum percentage of unappropriated spending allowed in a financial year?,223
Who passes the Division of Revenue Bill that county governments base their budgets on?,224
What is the form and procedure for county budget and appropriation bills?,224
What kind of Act of Parliament prescribes the form and procedure for county budgets?,224
What is the timeline for county governments to prepare and adopt their annual budgets?,224
What is the relationship between the Division of Revenue Bill and county budgets?,224
What bodies are responsible for financial control according to this article?,225
Under what conditions can funds be stopped from being transferred?,225
How long can funds be stopped from being transferred?,225
What role does Parliament play in approving or renewing a decision to stop funds?,225
What are the requirements before Parliament can approve or renew a decision to stop funds?,225
What bodies are responsible for auditing public entity accounts?,226
Who is accountable for financial management in national and county public entities?,226
Who audits the Auditor-General's office?,226
What happens if a public official misuses public funds?,226
What law governs the keeping of financial records and auditing of public accounts?,226
How are public contracts for goods and services awarded?,227
What policies can Parliament set for procurement and asset disposal?,227
What preferences can be given in allocating contracts?,227
What actions can be taken against contractors who don't meet standards or agreements?,227
What penalties can be imposed on those who default on taxes or engage in corruption or unfair employment practices?,227
How is the Controller of Budget appointed?,228
What are the qualifications to be the Controller?,228
How long does the Controller serve?,228
What are the Controller's main responsibilities?,228
How often does the Controller report to Parliament?,228
How is the Auditor-General appointed?,229
What are the qualifications required to be the Auditor-General?,229
How long does the Auditor-General serve and can they be re-appointed?,229
What entities does the Auditor-General audit annually?,229
What is the timeline for the Auditor-General's audit reports and their consideration by Parliament or county assemblies?,229
Who establishes the Salaries and Remuneration Commission?,230
What are the members of the Salaries and Remuneration Commission?,230
Who are the non-voting members of the Commission?,230
What are the main functions of the Salaries and Remuneration Commission?,230
What principles guide the Commission in performing its functions?,230
What is the primary institution established by this article?,231
What are the key responsibilities of the Central Bank of Kenya?,231
Who has control over the Central Bank of Kenya in its operations?,231
What are the design restrictions for Kenyan currency?,231
What will a future Act of Parliament provide for regarding the Central Bank of Kenya?,231
What are the key values and principles that guide public service in Kenya?,232
How should public servants use resources and provide services?,232
What role do citizens play in policy making according to the constitution?,232
Who is accountable for administrative acts in the public service?,232
How should appointments and promotions in the public service be based on?,232
Who establishes the Public Service Commission?,233
How many members are in the Public Service Commission and how are they appointed?,233
What are the eligibility criteria for members of the Public Service Commission?,233
When do clauses (3)(c) and (3)(d) cease to apply to a person?,233
Who is the chief executive of the Public Service Commission and how are they appointed?,233
What are the primary functions and powers of the Public Service Commission?,234
Which offices in the public service are exempt from the Commission's jurisdiction?,234
What is the role of the Commission in promoting certain values and principles within the public service?,234
How does the Commission ensure the efficiency and effectiveness of the public service?,234
"Can the Commission delegate its functions and powers, and if so, to whom?",234
Who is responsible for establishing and abolishing offices in a county's public service?,235
Who appoints and confirms appointments to these offices?,235
Who exercises disciplinary control and removes individuals from these offices?,235
What is the exception to the application of clause (1) in terms of offices or positions?,235
What commission is not subject to the control of county governments as per this article?,235
What safeguards does the constitution provide for public officers against unfair treatment?,236
How is a public officer protected from discrimination while performing their duties?,236
What happens if a public officer is dismissed without proper legal process?,236
Can a public officer be demoted without following the correct procedure?,236
What is the constitution's stance on disciplinary action against public officers without due process?,236
What is the body established by Article 237?,237
What are the key functions of the Teachers Service Commission?,237
What powers does the Commission have over teachers' employment and discipline?,237
What are the Commission's responsibilities regarding teacher education and demand?,237
What role does the Commission play in advising the national government?,237
What are the internal and external threats that Kenya's national security aims to protect against?,238
How is national security subject to the authority of the Constitution and Parliament?,238
"How should national security be pursued to respect the rule of law, democracy, and human rights?",238
How should national security organs respect the diverse cultures of Kenyan communities?,238
How should recruitment in national security organs reflect the diversity of the Kenyan people?,238
What are the main national security organs outlined in this article?,239
What is the primary objective of these national security organs and the security system?,239
What actions are prohibited for national security organs and their members?,239
What is prohibited regarding the establishment of military or similar organizations?,239
Who has the ultimate authority over the national security organs?,239
Who are the members of the National Security Council?,240
What is the role of the National Security Council in national security?,240
Who presides over the meetings of the National Security Council?,240
What is the annual report of the National Security Council to Parliament about?,240
Under what conditions can the National Security Council deploy or approve foreign forces?,240
What are the three branches of the Kenya Defence Forces?,241
What are the responsibilities of the Kenya Defence Forces in emergency situations?,241
Under what condition can the Kenya Defence Forces be deployed to restore peace?,241
How should the command of the Kenya Defence Forces be composed?,241
What are the members of the Defence Council and their roles?,241
What is the name of the service established in this article?,242
What are the primary responsibilities of this service?,242
What additional functions can this service perform?,242
How are these additional functions determined?,242
What is the overarching goal of this service's responsibilities?,242
What is the name of the service established in Article 243?,243
What are the two services that make up the National Police Service?,243
How does the National Police Service function throughout Kenya?,243
What kind of legislation will Parliament enact to support Article 243?,243
What is the purpose of the legislation that Parliament will enact for Article 243?,243
What are the primary objectives of the National Police Service in Kenya?,244
How does the National Police Service ensure high standards of professionalism and discipline among its members?,244
What measures does the National Police Service take to prevent corruption and promote transparency and accountability?,244
How does the National Police Service ensure its staff respects human rights and fundamental freedoms?,244
How does the National Police Service engage with and foster relationships with the broader society?,244
Who appoints the Inspector-General of the National Police Service and what is the required approval?,245
What functions does the Inspector-General independently command over the National Police Service?,245
"Who heads the Kenya Police Service and the Administration Police Service, and how are they appointed?",245
Under what conditions can the Cabinet Secretary give directions to the Inspector-General?,245
What are the grounds for removing the Inspector-General from office?,245
Who establishes the National Police Service Commission?,246
What are the roles of the President in appointing the Commission's members?,246
